l_shoulder,r_shoulder,l_elbow,r_elbow,l_wrist,r_wrist,l_hip,r_hip
"[1121.883056640625, 617.8389892578125]","[921.8663330078125, 623.6270141601562]","[1149.408447265625, 768.7882690429688]","[882.3541259765625, 774.2435302734375]","[1151.25390625, 916.1859741210938]","[865.96728515625, 916.8561401367188]","[1088.60595703125, 929.9818725585938]","[959.2991943359375, 934.4738159179688]"
"[1121.0870361328125, 617.9779663085938]","[924.9681396484375, 624.0157470703125]","[1149.71533203125, 770.4684448242188]","[883.9649047851562, 774.255126953125]","[1150.141357421875, 918.2869262695312]","[867.8798217773438, 915.0723266601562]","[1087.1915283203125, 930.0570068359375]","[960.086669921875, 934.0107421875]"
"[1120.900634765625, 617.698486328125]","[924.6589965820312, 624.0894165039062]","[1149.487060546875, 770.1851806640625]","[883.8568725585938, 774.822998046875]","[1150.027099609375, 918.1129760742188]","[867.34521484375, 915.6553955078125]","[1086.69140625, 929.3958740234375]","[959.5101318359375, 933.4682006835938]"
"[1121.0657958984375, 618.23046875]","[924.8871459960938, 624.4588623046875]","[1149.6151123046875, 771.573974609375]","[884.0293579101562, 775.0675048828125]","[1149.75390625, 918.70654296875]","[868.0336303710938, 916.511474609375]","[1087.286865234375, 930.8684692382812]","[960.246337890625, 934.9534912109375]"
"[1121.1845703125, 617.8764038085938]","[925.0521240234375, 624.245361328125]","[1149.536865234375, 771.4063110351562]","[884.1406860351562, 774.7146606445312]","[1149.6710205078125, 918.3131103515625]","[868.174560546875, 915.99853515625]","[1087.334716796875, 931.2525634765625]","[960.2385864257812, 935.37744140625]"
"[1120.86767578125, 617.726318359375]","[924.8091430664062, 624.3729858398438]","[1149.7154541015625, 770.91748046875]","[884.2904052734375, 775.1815795898438]","[1149.92529296875, 918.43798828125]","[868.7880859375, 916.09033203125]","[1086.929931640625, 930.985107421875]","[959.9232788085938, 935.2076416015625]"
"[1120.767578125, 618.0521240234375]","[924.7166748046875, 624.5638427734375]","[1149.627197265625, 770.399169921875]","[884.230224609375, 775.1953125]","[1149.934326171875, 918.3084716796875]","[869.2548828125, 916.6137084960938]","[1086.98046875, 931.425048828125]","[959.8446044921875, 935.6348876953125]"
"[1120.7177734375, 618.1551513671875]","[924.6113891601562, 624.6376953125]","[1149.543701171875, 770.333740234375]","[884.075927734375, 775.2222290039062]","[1149.956298828125, 918.1605834960938]","[869.3553466796875, 916.609375]","[1086.99169921875, 931.7235107421875]","[959.7286376953125, 935.9337158203125]"
"[1120.725830078125, 617.9754028320312]","[924.5568237304688, 624.4187622070312]","[1149.1324462890625, 770.5894775390625]","[883.6531982421875, 775.3121337890625]","[1149.8507080078125, 918.3236083984375]","[868.9921875, 916.207275390625]","[1087.0513916015625, 930.7335205078125]","[959.9869995117188, 934.9713134765625]"
"[1120.821044921875, 617.96533203125]","[924.807373046875, 624.1608276367188]","[1148.7191162109375, 770.4435424804688]","[884.0941162109375, 774.9832763671875]","[1150.0738525390625, 918.4125366210938]","[868.62890625, 916.4701538085938]","[1087.16357421875, 930.33203125]","[960.0994873046875, 934.4016723632812]"
"[1120.7076416015625, 617.8197021484375]","[924.708251953125, 624.2220458984375]","[1149.013671875, 769.9278564453125]","[884.0306396484375, 775.3492431640625]","[1150.2666015625, 918.3763427734375]","[868.2376708984375, 916.72412109375]","[1087.5396728515625, 930.9058837890625]","[960.4781494140625, 935.0548095703125]"
"[1120.995361328125, 617.897216796875]","[924.5524291992188, 624.4296264648438]","[1149.1253662109375, 769.8759765625]","[883.4913940429688, 775.4195556640625]","[1150.6668701171875, 918.56787109375]","[867.536376953125, 916.03125]","[1087.7216796875, 929.96484375]","[960.4847412109375, 934.2130737304688]"
"[1121.343505859375, 617.9781494140625]","[924.684814453125, 624.3525390625]","[1149.642822265625, 770.6273193359375]","[883.490234375, 775.5010986328125]","[1150.7371826171875, 918.54052734375]","[866.9967041015625, 916.0343627929688]","[1087.7227783203125, 929.4039916992188]","[960.4293212890625, 933.5655517578125]"
"[1121.4921875, 617.862548828125]","[924.9237670898438, 624.167236328125]","[1149.9482421875, 770.2659301757812]","[883.67138671875, 775.279052734375]","[1151.25146484375, 918.4063720703125]","[866.971923828125, 916.2003173828125]","[1087.8985595703125, 929.042724609375]","[960.6126708984375, 933.15087890625]"
"[1121.5458984375, 617.8427734375]","[924.8472900390625, 623.98828125]","[1150.161865234375, 769.6954345703125]","[883.2982177734375, 775.5584716796875]","[1151.406982421875, 918.341552734375]","[866.7225952148438, 916.4481811523438]","[1087.9564208984375, 929.0050048828125]","[960.5906982421875, 933.06884765625]"
"[1122.0799560546875, 618.3487548828125]","[924.8056640625, 623.9490356445312]","[1150.693603515625, 770.5443115234375]","[883.3851928710938, 775.2154541015625]","[1151.7052001953125, 918.4736938476562]","[866.4820556640625, 916.52685546875]","[1088.0369873046875, 931.611572265625]","[960.4546508789062, 935.5230102539062]"
"[1122.10400390625, 618.1300048828125]","[925.0014038085938, 623.713134765625]","[1150.787109375, 770.1090087890625]","[883.3250732421875, 775.341796875]","[1151.895751953125, 918.48193359375]","[866.4737548828125, 916.5274658203125]","[1088.5350341796875, 931.6685791015625]","[960.9298095703125, 935.5814208984375]"
"[1122.6815185546875, 618.4528198242188]","[925.236328125, 623.978271484375]","[1151.0029296875, 770.977783203125]","[883.48388671875, 775.6566162109375]","[1151.77734375, 918.4910888671875]","[865.6946411132812, 916.804931640625]","[1088.21875, 931.6638793945312]","[960.4070434570312, 935.472900390625]"
"[1122.746826171875, 618.5640869140625]","[925.402099609375, 624.0520629882812]","[1151.08203125, 770.967041015625]","[883.4869384765625, 775.914794921875]","[1151.807861328125, 918.21630859375]","[866.015625, 916.6025390625]","[1088.5355224609375, 932.2423095703125]","[960.7490844726562, 936.077880859375]"
"[1122.74755859375, 618.4993286132812]","[925.34326171875, 624.0221557617188]","[1151.1845703125, 770.8284301757812]","[883.42822265625, 775.9111328125]","[1152.0018310546875, 917.8773193359375]","[865.9530029296875, 916.3956298828125]","[1088.71044921875, 932.503662109375]","[960.92041015625, 936.3883056640625]"
"[1123.506591796875, 618.449951171875]","[926.15185546875, 623.7348022460938]","[1151.209228515625, 771.091796875]","[884.1484375, 774.8082275390625]","[1151.81201171875, 918.4645385742188]","[865.8720703125, 915.4777221679688]","[1088.8004150390625, 931.996337890625]","[961.113525390625, 935.7881469726562]"
"[1125.1729736328125, 618.0321044921875]","[924.839599609375, 623.682861328125]","[1150.235107421875, 768.1503295898438]","[882.1368408203125, 773.59130859375]","[1152.78955078125, 916.3207397460938]","[862.4901123046875, 916.3610229492188]","[1090.486083984375, 930.9483032226562]","[961.1390991210938, 935.4510498046875]"
"[1125.37109375, 618.2884521484375]","[925.73388671875, 623.7064819335938]","[1150.575927734375, 769.27587890625]","[882.236083984375, 773.6341552734375]","[1152.4990234375, 916.782470703125]","[860.5127563476562, 915.4359741210938]","[1090.9190673828125, 931.11962890625]","[962.0841064453125, 935.425537109375]"
"[1127.5374755859375, 620.244140625]","[922.9110107421875, 624.745849609375]","[1150.9267578125, 770.241943359375]","[880.7977294921875, 775.2481689453125]","[1151.630126953125, 915.8397216796875]","[859.0328979492188, 913.8892822265625]","[1092.9150390625, 932.2098388671875]","[959.9853515625, 936.0604248046875]"
"[1127.6695556640625, 620.08349609375]","[923.3505249023438, 624.332763671875]","[1151.256103515625, 770.02880859375]","[880.1361694335938, 774.9153442382812]","[1151.5008544921875, 916.175537109375]","[856.54736328125, 912.824951171875]","[1092.5244140625, 931.37841796875]","[959.7930908203125, 934.9710693359375]"
"[1125.950927734375, 618.412353515625]","[926.6823120117188, 623.8262329101562]","[1151.4697265625, 769.1544799804688]","[879.3760986328125, 772.8157958984375]","[1152.96337890625, 917.0784301757812]","[853.390380859375, 913.2863159179688]","[1090.260009765625, 930.438720703125]","[961.8140258789062, 934.4490966796875]"
"[1126.5982666015625, 618.9873657226562]","[926.7078857421875, 623.8676147460938]","[1152.3551025390625, 769.788818359375]","[877.6029052734375, 772.6448364257812]","[1153.0850830078125, 917.0218505859375]","[848.02587890625, 910.4075317382812]","[1090.249267578125, 930.5811767578125]","[961.5440673828125, 934.1508178710938]"
"[1126.57861328125, 618.8975830078125]","[926.62109375, 623.782470703125]","[1152.34521484375, 769.630615234375]","[877.4666748046875, 772.5840454101562]","[1153.03515625, 917.04296875]","[848.0635986328125, 910.78173828125]","[1090.1708984375, 930.7198486328125]","[961.4046020507812, 934.3173828125]"
"[1127.6474609375, 619.08251953125]","[927.2235717773438, 623.6290893554688]","[1153.463134765625, 769.7550048828125]","[872.3653564453125, 769.1474609375]","[1153.887451171875, 917.255126953125]","[837.9146118164062, 905.3529052734375]","[1091.0498046875, 930.7982177734375]","[962.2327880859375, 934.2178344726562]"
"[1130.28564453125, 620.1800537109375]","[923.6925048828125, 623.2203979492188]","[1154.2218017578125, 771.1690063476562]","[866.3758544921875, 768.85107421875]","[1152.9306640625, 917.0955810546875]","[827.0641479492188, 904.895751953125]","[1093.4019775390625, 931.3635864257812]","[960.0653686523438, 934.3921508789062]"
"[1128.9544677734375, 620.2716674804688]","[923.6505126953125, 622.054931640625]","[1152.78369140625, 770.2552490234375]","[863.386962890625, 764.21875]","[1153.435546875, 916.8800048828125]","[815.79833984375, 901.3985595703125]","[1092.9827880859375, 932.1297607421875]","[960.49560546875, 934.1636962890625]"
"[1128.95654296875, 620.2249755859375]","[923.5775146484375, 622.1406860351562]","[1152.648193359375, 770.0381469726562]","[863.2780151367188, 764.2388305664062]","[1153.345947265625, 916.7708129882812]","[815.6365966796875, 901.548828125]","[1093.1639404296875, 932.5427856445312]","[960.6556396484375, 934.6729736328125]"
"[1131.01806640625, 619.6724243164062]","[925.1845703125, 622.15234375]","[1155.0364990234375, 770.3599853515625]","[861.7166748046875, 765.1368408203125]","[1154.7672119140625, 915.83837890625]","[805.5472412109375, 892.7532348632812]","[1092.3719482421875, 930.8681640625]","[959.6566772460938, 933.0059814453125]"
"[1129.94189453125, 619.8594970703125]","[924.7860107421875, 620.1492309570312]","[1153.65966796875, 768.345947265625]","[847.5472412109375, 753.8140869140625]","[1155.668212890625, 915.7055053710938]","[780.9559326171875, 882.5249633789062]","[1092.232421875, 931.2445678710938]","[960.7491455078125, 932.4454345703125]"
"[1130.858642578125, 620.1285400390625]","[924.9854736328125, 619.4364013671875]","[1154.6041259765625, 768.223876953125]","[842.3199462890625, 748.737548828125]","[1156.67919921875, 915.3381958007812]","[765.4437255859375, 875.7178955078125]","[1092.7935791015625, 929.842529296875]","[961.3734130859375, 930.5975341796875]"
"[1131.4967041015625, 619.7001953125]","[925.4488525390625, 618.3232421875]","[1155.885498046875, 767.7548828125]","[836.638916015625, 742.943115234375]","[1157.1453857421875, 914.605224609375]","[754.411865234375, 864.026611328125]","[1093.09326171875, 930.8296508789062]","[961.9923095703125, 931.29638671875]"
"[1131.7259521484375, 619.9208374023438]","[925.3526000976562, 617.26416015625]","[1155.9755859375, 767.0245361328125]","[831.5242309570312, 737.2884521484375]","[1158.3887939453125, 914.42138671875]","[743.0444946289062, 853.8380126953125]","[1092.7587890625, 930.782958984375]","[961.6348876953125, 930.7084350585938]"
"[1133.131591796875, 620.8023071289062]","[929.3450927734375, 616.8130493164062]","[1157.41943359375, 767.8888549804688]","[828.5044555664062, 732.909423828125]","[1160.27783203125, 913.5540161132812]","[738.8084106445312, 843.7142333984375]","[1093.2041015625, 928.777587890625]","[964.1918334960938, 928.469970703125]"
"[1133.8416748046875, 621.064697265625]","[929.191650390625, 615.5252685546875]","[1157.8206787109375, 767.275634765625]","[824.142578125, 725.88671875]","[1160.847412109375, 912.9078369140625]","[728.4208984375, 829.5097045898438]","[1093.95751953125, 929.249267578125]","[964.3978271484375, 928.371826171875]"
